dataset,feature,target,AUROC,AUPRC,prevalence
04_DCASE17_T4,top1_score_change_abs,fixed_M1_P5_benefit,0.585024154589372,0.03037051637868604,0.011933174224343675
04_DCASE17_T4,top1_score_change_abs,fixed_M1_P5_harm,0.4514991181657848,0.04177355100790948,0.03341288782816229
04_DCASE17_T4,neg_evidence_support,any_M_P5_benefit,0.7625921375921375,0.06411879730974412,0.028639618138424822
04_DCASE17_T4,neg_evidence_support,fixed_M1_P5_benefit,0.7637681159420291,0.029432772930396894,0.011933174224343675
04_DCASE17_T4,neg_evidence_support,fixed_M1_P5_harm,0.7555555555555556,0.08027294064485886,0.03341288782816229
04_DCASE17_T4,evidence_variance,any_M_P5_benefit,0.40919328419328416,0.024483384921987116,0.028639618138424822
04_DCASE17_T4,evidence_variance,fixed_M1_P5_benefit,0.5140096618357488,0.014416607739814728,0.011933174224343675
04_DCASE17_T4,evidence_variance,fixed_M1_P5_harm,0.4264550264550265,0.02888381776933019,0.03341288782816229
05_AudioSet,neg_base_margin,any_M_P5_benefit,0.5919155363266844,0.03319210037511617,0.02675100098647943
05_AudioSet,neg_base_margin,fixed_M1_P5_benefit,0.5692748806741045,0.016600193789735616,0.013868740207740963
05_AudioSet,neg_base_margin,fixed_M1_P5_harm,0.5765343328432624,0.028810089433670936,0.0235014216909418
05_AudioSet,neg_first_margin,any_M_P5_benefit,0.6152961008767323,0.04095045888749592,0.02675100098647943
05_AudioSet,neg_first_margin,fixed_M1_P5_benefit,0.6047395265766947,0.025252239825306624,0.013868740207740963
05_AudioSet,neg_first_margin,fixed_M1_P5_harm,0.56199353223757,0.03059198495684882,0.0235014216909418
05_AudioSet,base_entropy,any_M_P5_benefit,0.6218305299660161,0.03831377557715325,0.02675100098647943
05_AudioSet,base_entropy,fixed_M1_P5_benefit,0.5939832074623433,0.019090830826012876,0.013868740207740963
05_AudioSet,base_entropy,fixed_M1_P5_harm,0.6103233294303732,0.03682770586004177,0.0235014216909418
05_AudioSet,first_entropy,any_M_P5_benefit,0.6360367552987031,0.043330008275497774,0.02675100098647943
05_AudioSet,first_entropy,fixed_M1_P5_benefit,0.6140971241141963,0.02093996128455394,0.013868740207740963
05_AudioSet,first_entropy,fixed_M1_P5_harm,0.5893871765751966,0.039870221720631246,0.0235014216909418
05_AudioSet,top1_conflict,any_M_P5_benefit,0.5597394531635982,0.03083459913645433,0.02675100098647943
05_AudioSet,top1_conflict,fixed_M1_P5_benefit,0.5597045573062214,0.01601906143342275,0.013868740207740963
05_AudioSet,top1_conflict,fixed_M1_P5_harm,0.544788888008522,0.026040815821228032,0.0235014216909418
05_AudioSet,js_divergence,any_M_P5_benefit,0.5881365776966362,0.03228219261070463,0.02675100098647943
05_AudioSet,js_divergence,fixed_M1_P5_benefit,0.5776500985088018,0.017441794098145502,0.013868740207740963
05_AudioSet,js_divergence,fixed_M1_P5_harm,0.5711123729703873,0.028350131007968404,0.0235014216909418
05_AudioSet,distribution_l1_change,any_M_P5_benefit,0.5894779052785528,0.03244147815666265,0.02675100098647943
05_AudioSet,distribution_l1_change,fixed_M1_P5_benefit,0.5783604156623332,0.017546798285539098,0.013868740207740963
05_AudioSet,distribution_l1_change,fixed_M1_P5_harm,0.5709908823330898,0.028310508181382754,0.0235014216909418
05_AudioSet,top1_score_change_abs,any_M_P5_benefit,0.4675146781667411,0.02344346414147127,0.02675100098647943
05_AudioSet,top1_score_change_abs,fixed_M1_P5_benefit,0.4499391367763075,0.011905691491824699,0.013868740207740963
05_AudioSet,top1_score_change_abs,fixed_M1_P5_harm,0.49966575401960867,0.023379756525415126,0.0235014216909418
