dataset,feature,trigger_budget,trigger_n,fixed_rescue_covered,fixed_rescue_recall,fixed_harm_triggered,harm_per_trigger,any_M_rescue_recall
04_DCASE17_T4,distribution_l1_change,0.5,210,4,0.8,12,0.05714285714285714,0.75
04_DCASE17_T4,top1_score_change_abs,0.1,42,2,0.4,2,0.047619047619047616,0.16666666666666666
04_DCASE17_T4,top1_score_change_abs,0.2,84,2,0.4,3,0.03571428571428571,0.25
04_DCASE17_T4,top1_score_change_abs,0.3,126,2,0.4,3,0.023809523809523808,0.25
04_DCASE17_T4,top1_score_change_abs,0.5,210,3,0.6,4,0.01904761904761905,0.4166666666666667
04_DCASE17_T4,neg_evidence_support,0.1,42,0,0.0,1,0.023809523809523808,0.08333333333333333
04_DCASE17_T4,neg_evidence_support,0.2,84,2,0.4,9,0.10714285714285714,0.5
04_DCASE17_T4,neg_evidence_support,0.3,126,3,0.6,10,0.07936507936507936,0.6666666666666666
04_DCASE17_T4,neg_evidence_support,0.5,210,5,1.0,12,0.05714285714285714,0.9166666666666666
04_DCASE17_T4,evidence_variance,0.1,42,0,0.0,0,0.0,0.0
04_DCASE17_T4,evidence_variance,0.2,84,0,0.0,0,0.0,0.0
04_DCASE17_T4,evidence_variance,0.3,126,1,0.2,2,0.015873015873015872,0.16666666666666666
04_DCASE17_T4,evidence_variance,0.5,210,3,0.6,6,0.02857142857142857,0.4166666666666667
05_AudioSet,neg_base_margin,0.1,1723,29,0.12133891213389121,51,0.02959953569355775,0.13449023861171366
05_AudioSet,neg_base_margin,0.2,3447,56,0.23430962343096234,105,0.030461270670147953,0.2603036876355748
05_AudioSet,neg_base_margin,0.3,5170,80,0.33472803347280333,158,0.03056092843326886,0.37310195227765725
05_AudioSet,neg_base_margin,0.5,8616,141,0.5899581589958159,255,0.029596100278551533,0.6203904555314533
05_AudioSet,neg_first_margin,0.1,1723,53,0.2217573221757322,65,0.03772489843296576,0.18655097613882862
05_AudioSet,neg_first_margin,0.2,3447,78,0.3263598326359833,107,0.031041485349579345,0.3188720173535792
05_AudioSet,neg_first_margin,0.3,5170,96,0.401673640167364,157,0.03036750483558994,0.4229934924078091
05_AudioSet,neg_first_margin,0.5,8616,152,0.6359832635983264,239,0.027739090064995357,0.6464208242950108
05_AudioSet,base_entropy,0.1,1723,40,0.16736401673640167,76,0.04410911201392919,0.16919739696312364
05_AudioSet,base_entropy,0.2,3447,63,0.26359832635983266,128,0.03713373948360894,0.2993492407809111
05_AudioSet,base_entropy,0.3,5170,93,0.3891213389121339,182,0.035203094777562866,0.4316702819956616
05_AudioSet,base_entropy,0.5,8616,148,0.6192468619246861,268,0.031104921077065924,0.6637744034707158
05_AudioSet,first_entropy,0.1,1723,48,0.200836820083682,81,0.047011027278003485,0.21475054229934923
05_AudioSet,first_entropy,0.2,3447,75,0.3138075313807531,135,0.0391644908616188,0.3405639913232104
05_AudioSet,first_entropy,0.3,5170,104,0.4351464435146444,175,0.033849129593810444,0.48156182212581344
05_AudioSet,first_entropy,0.5,8616,154,0.6443514644351465,249,0.028899721448467967,0.6616052060737527
05_AudioSet,top1_conflict,0.1,1723,29,0.12133891213389121,51,0.02959953569355775,0.12581344902386118
05_AudioSet,top1_conflict,0.2,3447,64,0.26778242677824265,94,0.027270089933275312,0.27765726681127983
05_AudioSet,top1_conflict,0.3,5170,93,0.3891213389121339,155,0.029980657640232108,0.39913232104121477
05_AudioSet,top1_conflict,0.5,8616,139,0.5815899581589958,230,0.02669452181987001,0.596529284164859
05_AudioSet,js_divergence,0.1,1723,32,0.13389121338912133,48,0.027858386535113175,0.1019522776572668
05_AudioSet,js_divergence,0.2,3447,57,0.2384937238493724,90,0.02610966057441253,0.25162689804772237
05_AudioSet,js_divergence,0.3,5170,89,0.3723849372384937,152,0.029400386847195356,0.3839479392624729
05_AudioSet,js_divergence,0.5,8616,144,0.602510460251046,251,0.029131847725162488,0.613882863340564
05_AudioSet,distribution_l1_change,0.1,1723,35,0.14644351464435146,48,0.027858386535113175,0.11496746203904555
05_AudioSet,distribution_l1_change,0.2,3447,58,0.24267782426778242,93,0.026979982593559618,0.24511930585683298
05_AudioSet,distribution_l1_change,0.3,5170,90,0.37656903765690375,147,0.028433268858800775,0.38611713665943603
05_AudioSet,distribution_l1_change,0.5,8616,147,0.6150627615062761,253,0.02936397400185701,0.6334056399132321
05_AudioSet,top1_score_change_abs,0.1,1723,17,0.07112970711297072,42,0.024376088218224026,0.06941431670281996
05_AudioSet,top1_score_change_abs,0.2,3447,33,0.13807531380753138,79,0.02291847983753989,0.14967462039045554
05_AudioSet,top1_score_change_abs,0.3,5170,51,0.21338912133891214,114,0.022050290135396517,0.2299349240780911
05_AudioSet,top1_score_change_abs,0.5,8616,99,0.41422594142259417,196,0.02274837511606314,0.4403470715835141
05_AudioSet,neg_evidence_support,0.1,1723,28,0.11715481171548117,33,0.019152640742890307,0.08676789587852494
05_AudioSet,neg_evidence_support,0.2,3447,79,0.3305439330543933,102,0.02959094865100087,0.2928416485900217
05_AudioSet,neg_evidence_support,0.3,5170,109,0.4560669456066946,144,0.027852998065764023,0.45336225596529284
05_AudioSet,neg_evidence_support,0.5,8616,161,0.6736401673640168,234,0.027158774373259052,0.7180043383947939
05_AudioSet,evidence_variance,0.1,1723,20,0.08368200836820083,35,0.020313406848520024,0.08026030368763558
05_AudioSet,evidence_variance,0.2,3447,42,0.17573221757322174,74,0.021467943138961415,0.18004338394793926
05_AudioSet,evidence_variance,0.3,5170,65,0.2719665271966527,128,0.024758220502901353,0.28199566160520606
05_AudioSet,evidence_variance,0.5,8616,112,0.4686192468619247,201,0.023328690807799445,0.48590021691973967
06_TUT2017,neg_base_margin,0.1,468,1,0.2,8,0.017094017094017096,0.2631578947368421
06_TUT2017,neg_base_margin,0.2,936,2,0.4,17,0.018162393162393164,0.3684210526315789
06_TUT2017,neg_base_margin,0.3,1404,2,0.4,22,0.01566951566951567,0.47368421052631576
06_TUT2017,neg_base_margin,0.5,2340,4,0.8,37,0.01581196581196581,0.7368421052631579
06_TUT2017,neg_first_margin,0.1,468,1,0.2,12,0.02564102564102564,0.15789473684210525
06_TUT2017,neg_first_margin,0.2,936,2,0.4,18,0.019230769230769232,0.2631578947368421
06_TUT2017,neg_first_margin,0.3,1404,2,0.4,25,0.017806267806267807,0.3684210526315789
