dataset,method,batch_size,n_profiled,repeats,end_to_end_ms_per_sample_mean,end_to_end_ms_per_sample_std,knowledge_stage_ms_per_sample_mean,knowledge_stage_ms_per_sample_std,throughput_samples_per_s_mean,throughput_samples_per_s_std,incremental_peak_gpu_mib_mean,incremental_peak_gpu_mib_std,static_cache_mib_mean,static_cache_mib_std,minimum_top1_agreement_vs_first_repeat
UrbanSound8K,Frozen-iKnow,32,200,5,30.710909229703248,3.815510751796268,4.16689011012204,0.3379529814312185,32.94241144881814,3.8502175734519333,1022.0,0.0,6.53125,0.0,1.0
UrbanSound8K,Final-TFS,32,200,5,197.58453096600715,39.2151666852823,168.65972387162037,36.43202686477212,5.217578697688771,0.9880146162824273,1022.0,0.0,6.53125,0.0,1.0
FSD50K,CLAP,1,200,5,52.69419499160722,4.671870507417976,0.714139406918548,0.08633696895410449,19.097163539772684,1.6912435567210022,36.001953125,0.0,68.84375,0.0,1.0
FSD50K,Frozen-iKnow,1,200,5,52.87384856247809,8.578181448178638,5.02773726824671,1.2849990316640063,19.345738450958457,3.3678863140881075,36.001953125,0.0,68.84375,0.0,1.0
FSD50K,Final-TFS,1,200,5,189.72729642491322,59.704278817012224,150.39253292011563,51.041293255093464,5.75814755503378,1.9517930628645028,36.001953125,0.0,68.84375,0.0,1.0
FSD50K,CLAP,32,200,5,13.18633878044784,0.989777777392847,0.22287209262140095,0.04764816851292768,76.18782908237883,5.865266276356698,1022.0,0.0,68.84375,0.0,1.0
FSD50K,Frozen-iKnow,32,200,5,14.815703791566193,0.8474020787308846,2.0702531376155093,0.20600858328734872,67.67045690402242,3.8183378774931303,1022.0,0.0,68.84375,0.0,1.0
FSD50K,Final-TFS,32,200,5,115.94831610145047,18.376186847958934,101.91771613899618,17.767932543496784,8.821236092280717,1.5630584390609152,1022.0,0.0,68.84375,0.0,1.0
AudioSet,CLAP,1,200,5,31.57395060523413,3.325933497429744,0.2594461413100362,0.014250918561887066,31.935485597796173,3.143288327586165,35.927734375,0.0,170.171875,0.0,1.0
AudioSet,Frozen-iKnow,1,200,5,34.43967162002809,3.6137221587214348,1.613926261314191,0.39581413721243164,29.277782938853683,2.887195934579455,35.927734375,0.0,170.171875,0.0,1.0
AudioSet,Final-TFS,1,200,5,90.87122666987125,4.838052798202833,55.5136032323353,3.9435898815175348,11.029777533042079,0.5918137820311328,35.927734375,0.0,170.171875,0.0,1.0
AudioSet,CLAP,32,200,5,24.448810720583424,2.2726488019964792,0.16871239943429828,0.012018973330299554,41.19069556147173,3.891107185609459,1022.0,0.0,170.171875,0.0,1.0
AudioSet,Frozen-iKnow,32,200,5,25.678638951736502,1.484221854847794,1.3516569236526266,0.05045714811494567,39.04361244804528,2.1806059323780023,1022.0,0.0,170.171875,0.0,1.0
AudioSet,Final-TFS,32,200,5,78.55348656105343,2.21300075977746,52.415506589226425,1.1715442049383729,12.738458286665558,0.367372726983846,1022.0,0.0,170.171875,0.0,1.0
TUT2017,CLAP,1,200,5,29.148583762231283,0.09964120382556693,0.2503245127154514,0.0008264934529465428,34.30730531945933,0.11745613287716528,36.25,0.0,7.28515625,0.0,1.0
TUT2017,Frozen-iKnow,1,200,5,30.44354210793972,0.06270881092733929,1.5511044403538108,0.004631309170383258,32.84780036217079,0.06764362508608295,36.25,0.0,7.28515625,0.0,1.0
TUT2017,Final-TFS,1,200,5,90.90615586738568,0.2581714937017335,62.04446985363029,0.22576210548364775,11.000426061241168,0.031210557390601277,36.25,0.0,7.28515625,0.0,1.0
TUT2017,CLAP,32,200,5,18.070438619935885,0.1784539362733024,0.15875181613955647,0.0007819499729896125,55.34328362512438,0.5422363632478974,1022.0,0.0,7.28515625,0.0,1.0
TUT2017,Frozen-iKnow,32,200,5,19.397870214888826,0.1312022247293744,1.439699424779974,0.003048657278342972,51.55393780114135,0.3486492403710395,1022.0,0.0,7.28515625,0.0,1.0
TUT2017,Final-TFS,32,200,5,80.15439570415765,0.14205704855584397,62.36558002710808,0.09048835852802098,12.475953534173865,0.022142225466476033,1022.0,0.0,7.28515625,0.0,1.0
