dataset,contrast,baseline,method,delta_Hit@1_pp,Hit@1_CI_low,Hit@1_CI_high,rescued,harmed,McNemar_p,delta_MRR_pp,MRR_CI_low,MRR_CI_high
ESC-50,AAKV vs RawTriple | Fusion+Selector,Raw-FS,TFS_Final,0.15,-0.5499999999999999,0.8,25,22,0.7708669945730263,-0.010000000000000042,-0.3991875,0.375020833333333
ESC-50,Full system vs Frozen-iKnow,I_iKnow,TFS_Final,2.5,1.55,3.45,72,22,2.2605981543610277e-07,1.1824999999999999,0.6774791666666666,1.6983333333333333
UrbanSound8K,"Fusion | Direct, FixedRq",I_iKnow,F_Fusion,0.1374255611543747,-0.19468621163536418,0.4698236371965144,118,106,0.46243638173103185,0.10497785921514734,-0.06909928996793403,0.27695067949305235
UrbanSound8K,"Fusion | AAKV, FixedRq",T_AAKV,TF,1.2597343105817682,0.7901969766376545,1.729271644525882,275,165,1.7647857296658756e-07,0.8766605588639487,0.6250858909757213,1.1287982898152389
UrbanSound8K,"Fusion | Direct, Selector",S_Selector,FS,-0.10306917086578105,-0.38937242327072835,0.1717819514429684,73,82,0.5206333734262375,-0.04046419300656589,-0.20232573675370286,0.11853431821652155
UrbanSound8K,"Fusion | AAKV, Selector",TS,TFS_Final,0.21759047182775995,-0.19468621163536418,0.6298671552908841,178,159,0.3268333622992589,0.3527256069628951,0.11488395174835854,0.5913211940754313
UrbanSound8K,"AAKV | joint fusion, FixedRq",I_iKnow,T_AAKV,-0.3664681630783326,-0.9848831882730188,0.25194686211635364,376,408,0.26822076000089906,-0.4872881355932204,-0.8339107115590165,-0.14066555962742408
UrbanSound8K,"AAKV | Fusion, FixedRq",F_Fusion,TF,0.7558405863490609,0.26339899221255153,1.2482821804855704,271,205,0.002850600813975863,0.28439456405558106,0.014114750343563907,0.5527609176973584
UrbanSound8K,"AAKV | joint fusion, Selector",S_Selector,TS,1.1223087494273936,0.5608680714612921,1.694915254237288,375,277,0.00014158266300834502,0.42277446938463875,0.08530882577492745,0.7621392579019697
UrbanSound8K,"AAKV | Fusion, Selector",FS,TFS_Final,1.4429683921209346,0.973431058176821,1.9125057260650482,280,154,1.5242358091254096e-09,0.8159642693540999,0.5439761795693999,1.088334096808673
UrbanSound8K,"Selector | Direct, joint fusion",I_iKnow,S_Selector,0.9505267979844251,0.45808520384791573,1.4315162620247366,281,198,0.00017315826482540078,0.3641777370590929,0.0925666132233929,0.6338754008245534
UrbanSound8K,"Selector | AAKV, joint fusion",T_AAKV,TS,2.439303710490151,1.9125057260650482,2.9546495648190563,380,167,4.1877953818864185e-20,1.2742403420369521,0.9764706443731868,1.569137463734921
UrbanSound8K,"Selector | Direct, Fusion",F_Fusion,FS,0.7100320659642693,0.2977553825011452,1.1223087494273936,203,141,0.0009778951780617534,0.21873568483737976,-0.010693426477324812,0.447783058482211
UrbanSound8K,"Selector | AAKV, Fusion",TF,TFS_Final,1.3971598717361429,0.9619789280806231,1.8437929454878605,255,133,5.899221879649841e-10,0.7503053901358986,0.5105550465719957,0.992517941670484
UrbanSound8K,AAKV vs RawTriple | Fusion+Selector,Raw-FS,TFS_Final,0.744388456252863,0.2863032524049473,1.1910215300045808,235,170,0.0014415346552955261,0.42926400977248436,0.15974767140021381,0.6920999389219727
UrbanSound8K,Full system vs Frozen-iKnow,I_iKnow,TFS_Final,2.2904260192395784,1.7521759047182777,2.8286761337608795,382,182,2.470608033893281e-17,1.1396778134066272,0.8382863795999388,1.436674492288899
FSD50K,"Fusion | Direct, FixedRq",I_iKnow,F_Fusion,0.996969993158049,0.5278076434366142,1.466132342879484,344,242,2.8881267334443394e-05,0.6879683821326973,0.4334395052891054,0.9404805992248663
FSD50K,"Fusion | AAKV, FixedRq",T_AAKV,TF,1.1142605805884078,0.664646662105366,1.573648714690646,341,227,1.9694394251914806e-06,0.8270354521942832,0.5885762638462766,1.0712730460983322
FSD50K,"Fusion | Direct, Selector",S_Selector,FS,0.3127748998142899,-0.0977421561919656,0.7428403870589385,259,227,0.15959826594049556,-0.06146754405657946,-0.3156366353926995,0.19511093438342536
FSD50K,"Fusion | AAKV, Selector",TS,TFS_Final,0.11729058743035871,-0.28345225295670023,0.5278076434366142,231,219,0.604127278728523,0.2183356730066857,-0.023576928568365515,0.4640142274596171
FSD50K,"AAKV | joint fusion, FixedRq",I_iKnow,T_AAKV,1.7593588114553809,0.9480989150620662,2.599941354706285,1013,833,3.055920215825126e-05,0.8434541784036871,0.38164973796201646,1.3219163942012198
FSD50K,"AAKV | Fusion, FixedRq",F_Fusion,TF,1.8766493988857393,1.1142605805884078,2.639038217183071,895,703,1.7230790011669985e-06,0.9825212484652728,0.5432014945087948,1.42481359554476
