dataset,consensus_votes,vote_fraction_of_pool,n_samples,iKnow_Hit1,TFS_Hit1,delta_Hit1_pp,iKnow_MRR,TFS_MRR,delta_MRR_pp,wrong_to_correct,correct_to_wrong,net_rescued
AudioSet,33,0.7021276595744681,531,25.6120527306968,30.69679849340866,5.084745762711865,38.28083716878011,41.17599839750897,2.8951612287288606,41,14,27
AudioSet,34,0.723404255319149,513,29.629629629629626,35.86744639376218,6.237816764132553,43.23516208642808,46.80465681089356,3.569494724465484,47,15,32
AudioSet,35,0.7446808510638298,470,31.70212765957447,33.191489361702125,1.4893617021276597,44.98940305952775,45.086738953348664,0.09733589382091244,30,23,7
AudioSet,36,0.7659574468085106,460,31.73913043478261,36.52173913043478,4.782608695652174,45.42103310975214,47.11624927359012,1.695216163837985,35,13,22
AudioSet,37,0.7872340425531915,462,32.467532467532465,37.878787878787875,5.411255411255411,45.48235752058286,48.14066941619253,2.6583118956096854,41,16,25
AudioSet,38,0.8085106382978723,449,33.4075723830735,36.74832962138085,3.34075723830735,44.9905877067765,47.01699547371879,2.026407766942288,23,8,15
AudioSet,39,0.8297872340425532,468,38.675213675213676,42.52136752136752,3.8461538461538463,49.276411282553475,51.30415256915599,2.0277412866025233,29,11,18
AudioSet,40,0.851063829787234,446,40.80717488789238,43.27354260089686,2.4663677130044843,50.98873672856834,52.59592093259374,1.607184204025407,20,9,11
AudioSet,41,0.8723404255319149,441,40.362811791383216,43.76417233560091,3.4013605442176873,51.85275666108426,53.50501539188717,1.6522587308029142,23,8,15
AudioSet,42,0.8936170212765957,437,44.8512585812357,46.681922196796336,1.8306636155606408,55.359065720386624,56.37902452658389,1.0199588061972658,17,9,8
AudioSet,43,0.9148936170212766,422,46.208530805687204,49.763033175355446,3.5545023696682465,57.16312417305384,59.150146439853444,1.9870222667996076,19,4,15
AudioSet,44,0.9361702127659575,413,48.18401937046005,50.363196125908,2.1791767554479415,57.840626932629256,59.07032013411544,1.2296932014861792,11,2,9
AudioSet,45,0.9574468085106383,449,50.779510022271715,52.338530066815146,1.55902004454343,59.88093842157226,60.35035853292309,0.46942011135082584,12,5,7
AudioSet,46,0.9787234042553191,499,58.31663326653307,58.517034068136276,0.2004008016032064,66.43139163562934,66.39505676627392,-0.03633486935539946,6,5,1
AudioSet,47,1.0,856,68.45794392523365,68.80841121495327,0.35046728971962615,75.03449835762859,74.90463033494514,-0.12986802268344322,6,3,3
TUT2017,11,0.23404255319148937,2,0.0,100.0,100.0,22.5,100.0,77.5,2,0,2
TUT2017,12,0.2553191489361702,1,0.0,0.0,0.0,25.0,25.0,0.0,0,0,0
TUT2017,13,0.2765957446808511,3,0.0,33.33333333333333,33.33333333333333,19.23076923076923,41.452991452991455,22.222222222222225,1,0,1
TUT2017,14,0.2978723404255319,9,22.22222222222222,0.0,-22.22222222222222,43.888888888888886,33.14814814814815,-10.740740740740742,0,2,-2
TUT2017,15,0.3191489361702128,21,19.047619047619047,23.809523809523807,4.761904761904762,44.45011337868481,46.672335600907026,2.2222222222222205,5,4,1
TUT2017,16,0.3404255319148936,26,11.538461538461538,7.6923076923076925,-3.8461538461538463,39.455128205128204,34.006410256410255,-5.448717948717948,1,2,-1
TUT2017,17,0.3617021276595745,50,16.0,28.000000000000004,12.0,38.92222222222222,48.12222222222222,9.200000000000001,12,6,6
