Dataset,Relation,Selected count,Selected share (%),In FrozenRq
UrbanSound8K,described by,1010,11.566651,no
UrbanSound8K,emitted by,680,7.787448,no
UrbanSound8K,emotionally associated with,1702,19.491525,no
UrbanSound8K,entails event,287,3.286761,no
UrbanSound8K,event composed of,656,7.512597,no
UrbanSound8K,follows,1596,18.277600,no
UrbanSound8K,generated by,979,11.211635,no
UrbanSound8K,has children,1060,12.139258,no
UrbanSound8K,has duration,779,8.921209,no
UrbanSound8K,has loudness,1034,11.841503,no
UrbanSound8K,has parent,1135,12.998168,no
UrbanSound8K,has pitch,862,9.871736,no
UrbanSound8K,has sibling,1527,17.487403,no
UrbanSound8K,has subtype,1356,15.529088,no
UrbanSound8K,has timbre,1150,13.169950,no
UrbanSound8K,indicates,571,6.539166,no
UrbanSound8K,invites action,605,6.928539,no
UrbanSound8K,is a type of,2166,24.805314,no
UrbanSound8K,is instance of,610,6.985799,no
UrbanSound8K,is sound of,711,8.142464,no
UrbanSound8K,is variant of,1663,19.044892,no
UrbanSound8K,linked to visual,778,8.909757,no
UrbanSound8K,localized in,1091,12.494274,yes
UrbanSound8K,occurs in,1006,11.520843,yes
UrbanSound8K,originates from,622,7.123225,no
UrbanSound8K,overlaps with,2166,24.805314,yes
UrbanSound8K,part of scene,592,6.779661,yes
UrbanSound8K,perceived as,454,5.199267,no
UrbanSound8K,performed by,854,9.780119,no
UrbanSound8K,precedes,1335,15.288594,no
UrbanSound8K,produced during,465,5.325240,no
UrbanSound8K,produces,1411,16.158956,no
UrbanSound8K,requires attention,419,4.798443,no
UrbanSound8K,responds to,350,4.008246,no
UrbanSound8K,scene contains,647,7.409528,no
UrbanSound8K,temporal component of,945,10.822263,no
UrbanSound8K,transcribed as,1266,14.498397,no
UrbanSound8K,triggers,758,8.680715,no
UrbanSound8K,used for,852,9.757215,yes
UrbanSound8K,warns about,440,5.038937,no
FSD50K,affects,1326,12.960610,no
FSD50K,associated with environment,1006,9.832861,no
FSD50K,associated with event,1115,10.898250,no
FSD50K,belongs to class,1147,11.211025,no
FSD50K,can be heard in,1350,13.195191,no
FSD50K,caused by,1452,14.192161,no
FSD50K,co-occurs with,1590,15.541003,no
FSD50K,described by,1067,10.429088,no
FSD50K,emitted by,928,9.070472,no
FSD50K,emotionally associated with,1138,11.123057,no
FSD50K,entails event,1148,11.220800,no
FSD50K,event composed of,1036,10.126087,no
FSD50K,follows,1429,13.967354,no
FSD50K,generated by,1034,10.106539,no
FSD50K,has children,1685,16.469553,no
FSD50K,has duration,921,9.002053,no
FSD50K,has loudness,840,8.210341,no
FSD50K,has parent,1085,10.605024,yes
FSD50K,has pitch,896,8.757697,no
FSD50K,has sibling,1116,10.908025,no
FSD50K,has subtype,1370,13.390675,no
FSD50K,has timbre,732,7.154726,no
FSD50K,indicates,991,9.686248,no
FSD50K,invites action,758,7.408855,no
FSD50K,is a type of,1696,16.577070,no
FSD50K,is instance of,1083,10.585476,no
FSD50K,is sound of,1191,11.641091,yes
FSD50K,is variant of,1496,14.622227,no
FSD50K,linked to visual,797,7.790050,no
FSD50K,localized in,585,5.717916,no
FSD50K,occurs in,959,9.373473,no
FSD50K,originates from,1011,9.881732,no
FSD50K,overlaps with,1175,11.484703,yes
FSD50K,part of scene,842,8.229890,no
FSD50K,perceived as,1004,9.813312,no
FSD50K,performed by,1199,11.719285,no
FSD50K,precedes,1163,11.367413,no
FSD50K,produced during,847,8.278761,no
FSD50K,produces,1290,12.608738,no
FSD50K,requires attention,870,8.503568,no
FSD50K,responds to,970,9.480989,no
FSD50K,scene contains,1072,10.477959,no
FSD50K,temporal component of,890,8.699052,no
FSD50K,transcribed as,923,9.021601,yes
FSD50K,triggers,1006,9.832861,no
FSD50K,used for,1168,11.416284,no
FSD50K,warns about,758,7.408855,no
AudioSet,affects,2550,14.797191,no
AudioSet,associated with environment,2202,12.777810,no
AudioSet,associated with event,2289,13.282655,no
AudioSet,belongs to class,1823,10.578541,yes
AudioSet,can be heard in,2092,12.139500,no
AudioSet,caused by,2300,13.346486,no
AudioSet,co-occurs with,2244,13.021528,no
AudioSet,described by,1842,10.688795,no
AudioSet,emitted by,2064,11.977021,no
AudioSet,emotionally associated with,1922,11.153020,no
AudioSet,entails event,1880,10.909302,no
AudioSet,event composed of,1843,10.694598,no
AudioSet,follows,2247,13.038937,no
AudioSet,generated by,1402,8.135554,no
AudioSet,has children,1779,10.323217,yes
AudioSet,has duration,1438,8.344455,no
AudioSet,has loudness,1727,10.021470,no
AudioSet,has parent,1230,7.137469,yes
AudioSet,has pitch,1664,9.655893,no
AudioSet,has sibling,1615,9.371555,no
AudioSet,has subtype,1943,11.274880,no
AudioSet,has timbre,1650,9.574653,no
AudioSet,indicates,1788,10.375442,no
AudioSet,invites action,1838,10.665583,no
AudioSet,is a type of,2784,16.155051,yes
AudioSet,is instance of,2298,13.334881,no
AudioSet,is sound of,2201,12.772007,no
AudioSet,is variant of,2031,11.785528,no
AudioSet,linked to visual,1990,11.547612,no
AudioSet,localized in,899,5.216735,no
AudioSet,occurs in,1597,9.267104,no
AudioSet,originates from,1354,7.857019,no
AudioSet,overlaps with,2154,12.499275,no
AudioSet,part of scene,1804,10.468288,no
AudioSet,perceived as,1568,9.098822,no
AudioSet,performed by,1847,10.717809,no
AudioSet,precedes,2082,12.081472,no
